Example,Time (days),Filter,Magnitude,Uncertainty
1,0.1,ztfg,26.329954,0.19149366
1,0.1,ztfr,26.87544,0.15841776
1,0.1,ztfi,27.680798,0.14064123
1,0.2985714285714286,ztfg,24.691631,0.17163877
1,0.2985714285714286,ztfr,24.729324,0.17570023
1,0.2985714285714286,ztfi,25.522377,0.18879077
1,0.4971428571428571,ztfg,23.984735,0.17808509
1,0.4971428571428571,ztfr,23.778402,0.19179468
1,0.4971428571428571,ztfi,24.654142,0.1883256
1,0.6957142857142856,ztfg,23.799477,0.17421266
1,0.6957142857142856,ztfr,23.036055,0.19877982
1,0.6957142857142856,ztfi,24.356417,0.19204567
1,0.8942857142857142,ztfg,23.385359,0.16898444
1,0.8942857142857142,ztfr,23.300234,0.19818349
1,0.8942857142857142,ztfi,24.094702,0.19325627
1,1.092857142857143,ztfg,23.56834,0.16584429
1,1.092857142857143,ztfr,23.242992,0.19955583
1,1.092857142857143,ztfi,23.952938,0.18674259
1,1.2914285714285714,ztfg,23.81803,0.1623066
1,1.2914285714285714,ztfr,23.296255,0.20085123
1,1.2914285714285714,ztfi,24.136578,0.18843663
1,1.49,ztfg,23.904112,0.16159289
1,1.49,ztfr,23.411528,0.19344483
1,1.49,ztfi,24.01033,0.18785793
1,1.6885714285714286,ztfg,24.234879,0.1665718
1,1.6885714285714286,ztfr,23.39153,0.18844324
1,1.6885714285714286,ztfi,23.940838,0.19059211
1,1.8871428571428572,ztfg,24.693825,0.17220359
1,1.8871428571428572,ztfr,23.748222,0.19151504
1,1.8871428571428572,ztfi,24.040623,0.18603617
1,2.085714285714286,ztfg,24.974667,0.17642497
1,2.085714285714286,ztfr,23.979643,0.19224192
1,2.085714285714286,ztfi,23.93405,0.1804137
1,2.2842857142857143,ztfg,25.30608,0.17165588
1,2.2842857142857143,ztfr,24.372784,0.18625326
1,2.2842857142857143,ztfi,24.079885,0.18865508
1,2.4828571428571427,ztfg,25.672054,0.18534875
1,2.4828571428571427,ztfr,24.40177,0.18903902
1,2.4828571428571427,ztfi,24.248402,0.19384004
1,2.6814285714285715,ztfg,25.786636,0.18532515
1,2.6814285714285715,ztfr,24.674458,0.18962276
1,2.6814285714285715,ztfi,24.415867,0.19417244
1,2.88,ztfg,26.149698,0.1909621
1,2.88,ztfr,24.792171,0.19623402
1,2.88,ztfi,24.745802,0.19079745
1,3.0785714285714287,ztfg,26.598354,0.19553654
1,3.0785714285714287,ztfr,25.162037,0.19427505
1,3.0785714285714287,ztfi,24.66895,0.18935783
1,3.277142857142857,ztfg,26.728197,0.19795774
1,3.277142857142857,ztfr,25.276337,0.19175766
1,3.277142857142857,ztfi,24.673235,0.19803798
1,3.4757142857142855,ztfg,27.107475,0.19712566
1,3.4757142857142855,ztfr,25.38662,0.18950681
1,3.4757142857142855,ztfi,25.031794,0.2014072
1,3.6742857142857144,ztfg,27.185125,0.19693547
1,3.6742857142857144,ztfr,25.645798,0.19233769
1,3.6742857142857144,ztfi,24.923159,0.19526543
1,3.8728571428571428,ztfg,27.53812,0.19634743
1,3.8728571428571428,ztfr,25.840195,0.19112882
1,3.8728571428571428,ztfi,25.266909,0.19869533
1,4.071428571428571,ztfg,27.94084,0.19862248
1,4.071428571428571,ztfr,26.06971,0.19436084
1,4.071428571428571,ztfi,25.507683,0.19637126
1,4.27,ztfg,28.099615,0.20364544
1,4.27,ztfr,26.116747,0.1975385
1,4.27,ztfi,25.303612,0.20399636
1,4.468571428571428,ztfg,28.35396,0.20634261
1,4.468571428571428,ztfr,26.242256,0.19785027
1,4.468571428571428,ztfi,25.687328,0.20359462
1,4.667142857142856,ztfg,28.330086,0.20687042
1,4.667142857142856,ztfr,26.445312,0.1973805
1,4.667142857142856,ztfi,25.657066,0.20457184
1,4.865714285714285,ztfg,28.517193,0.19985226
1,4.865714285714285,ztfr,26.472586,0.19975917
1,4.865714285714285,ztfi,25.926434,0.20304202
1,5.064285714285714,ztfg,28.862621,0.20732331
1,5.064285714285714,ztfr,26.827492,0.19313735
1,5.064285714285714,ztfi,26.138178,0.21133225
1,5.2628571428571425,ztfg,28.973473,0.19856893
1,5.2628571428571425,ztfr,26.918936,0.20333464
1,5.2628571428571425,ztfi,26.021841,0.20594463
1,5.461428571428571,ztfg,29.231348,0.19657075
1,5.461428571428571,ztfr,27.033907,0.19612502
1,5.461428571428571,ztfi,25.976288,0.21106464
1,5.659999999999999,ztfg,29.362099,0.19603042
1,5.659999999999999,ztfr,27.229656,0.19949296
1,5.659999999999999,ztfi,26.149302,0.20339651
1,5.858571428571428,ztfg,29.517122,0.19824563
1,5.858571428571428,ztfr,27.131733,0.19766416
1,5.858571428571428,ztfi,26.34034,0.2115833
1,6.057142857142857,ztfg,29.621206,0.19205293
1,6.057142857142857,ztfr,27.365448,0.1985783
1,6.057142857142857,ztfi,26.488358,0.21274674
1,6.255714285714285,ztfg,29.96491,0.18717876
1,6.255714285714285,ztfr,27.56267,0.19065696
1,6.255714285714285,ztfi,26.5633,0.20672111
1,6.454285714285714,ztfg,29.929228,0.18841346
1,6.454285714285714,ztfr,27.593964,0.20175244
1,6.454285714285714,ztfi,26.633047,0.20983934
1,6.652857142857142,ztfg,30.009605,0.1901155
1,6.652857142857142,ztfr,27.772818,0.19863836
1,6.652857142857142,ztfi,26.85852,0.21725053
1,6.8514285714285705,ztfg,30.489113,0.20006928
1,6.8514285714285705,ztfr,27.948246,0.19120145
1,6.8514285714285705,ztfi,26.827753,0.21479613
1,7.05,ztfg,30.34722,0.19164963
1,7.05,ztfr,28.253237,0.19315097
1,7.05,ztfi,26.98145,0.20623073
1,7.248571428571428,ztfg,30.635298,0.18484387
1,7.248571428571428,ztfr,28.078428,0.19961165
1,7.248571428571428,ztfi,26.930016,0.20992385
1,7.447142857142857,ztfg,30.568647,0.18291044
1,7.447142857142857,ztfr,28.234184,0.19883616
1,7.447142857142857,ztfi,27.284267,0.20796752
1,7.645714285714285,ztfg,30.749481,0.18269639
1,7.645714285714285,ztfr,28.392525,0.19696514
1,7.645714285714285,ztfi,27.168064,0.210936
1,7.844285714285713,ztfg,31.0022,0.17912881
1,7.844285714285713,ztfr,28.302162,0.19950384
1,7.844285714285713,ztfi,27.200893,0.21160685
1,8.042857142857143,ztfg,31.171646,0.17809755
1,8.042857142857143,ztfr,28.643497,0.20128094
1,8.042857142857143,ztfi,27.10479,0.2075493
1,8.241428571428571,ztfg,31.311853,0.17096096
1,8.241428571428571,ztfr,28.731018,0.19008279
1,8.241428571428571,ztfi,27.511263,0.21813112
1,8.44,ztfg,31.377892,0.18094282
1,8.44,ztfr,29.131899,0.20284903
1,8.44,ztfi,27.454428,0.20493463
1,8.638571428571428,ztfg,31.455486,0.17555472
1,8.638571428571428,ztfr,28.920528,0.20005943
1,8.638571428571428,ztfi,27.658411,0.21174596
1,8.837142857142856,ztfg,31.393911,0.17854266
1,8.837142857142856,ztfr,29.118427,0.20144796
1,8.837142857142856,ztfi,27.71441,0.21012524
1,9.035714285714285,ztfg,31.653603,0.17428453
1,9.035714285714285,ztfr,29.076582,0.19835712
1,9.035714285714285,ztfi,27.736403,0.20364228
1,9.234285714285713,ztfg,31.884132,0.17546605
1,9.234285714285713,ztfr,29.091833,0.19849285
1,9.234285714285713,ztfi,27.706884,0.20619947
1,9.432857142857141,ztfg,32.205254,0.1709685
1,9.432857142857141,ztfr,29.468744,0.19334656
